row_id,provider,method,path,operationId,summary,description
2555,trakt.tv,DELETE,/comments/{id},Delete a comment or reply,Delete a comment or reply,"#### &#128274; OAuth Required Delete a single comment. The OAuth user must match the author of the comment in order to delete it. If not, a `401` HTTP status code is returned. The comment must also be less than 2 weeks old or have 0 replies. If not, a `409` HTTP status is returned."
2570,trashnothing.com,PUT,/conversations/{conversation_id}/unblock,unblock_conversation,Unblock conversation,
2589,trello.com,PUT,/cards/{idCard}/checklist/{idChecklist}/checkItem/{idCheckItem}/state,updateCardsChecklistCheckItemStateByIdCardByIdChecklistByIdCheckItem,updateCardsChecklistCheckItemStateByIdCardByIdChecklistByIdCheckItem(),
2592,trello.com,PUT,/members/{idMember}/boardStars/{idBoardStar}/pos,updateMembersBoardStarsPosByIdMemberByIdBoardStar,updateMembersBoardStarsPosByIdMemberByIdBoardStar(),
2613,tvmaze.com,DELETE,/user/follows/shows/{show_id},,Unfollow a show,
2616,tvmaze.com,DELETE,/user/tags/{tag_id}/shows/{show_id},,Untag a show,
2620,tvmaze.com,PUT,/user/episodes/{episode_id},,Mark an episode,Set `marked_at` to `NULL` or leave it out to use the current time.
2667,up.com.au,DELETE,/webhooks/{id},,Delete webhook,"Delete a specific webhook by providing its unique identifier. Once deleted, webhook events will no longer be sent to the configured URL."
2668,va.gov,PUT,/path,putBenefitsDocumentUpload,Accepts document upload.,"Accepts document metadata, document binary, and attachment binaries. Full URL, including query parameters, provided from POST `/document_uploads`. ## Example Payload The following demonstrates a (redacted) multipart payload suitable for submitting to the PUT endpoint. Most programming languages should have provisions for assembling a multipart payload like this without having to do so manually. ``` --17de1ed8f01442b2a2d7a93506314b76 Content-Disposition: form-data; name=""metadata"" Content-Type: a"
2690,victorops.com,DELETE,/api-public/v1/user/{user}/contact-methods/phones/{contactId},,Delete a contact phone for a user,Delete the indicated contact phone for the user This API may be called a maximum of 60 times per minute.
2705,vimeo.com,DELETE,/users/{user_id}/projects/{project_id},delete_project,Delete a project,This method deletes a project and optionally also the videos that it contains.
2715,vimeo.com,PUT,/videos/{video_id}/privacy/domains/{domain},add_video_privacy_domain,Permit a video to be embedded on a domain,"If domain privacy is enabled for this video, this method permits the video to be embedded on the specified domain."
2716,visagecloud.com,DELETE,/rest/v1.1/classifier/svm,removeClassiferUsingDELETE,Delete existing classifier,
2726,visagecloud.com,PATCH,/rest/v1.1/stream/start,startStreamUsingPATCH,Start existing stream,
2729,visagecloud.com,PUT,/rest/v1.1/profile/classificationAttributes,mapClassificationAttributesToProfileUsingPUT,Maps classification attributes to a profile,
2744,visualstudio.com,PUT,/api/v1/tenant/{tenantId}/Pool/{poolName},,,
2745,visualstudio.com,PUT,/api/v1/tenant/{tenantId}/PoolGroup/{poolGroupName},,,
2754,vmware.local,PUT,/data-sources/arista-switches/{id}/snmp-config,updateAristaSwitchSnmpConfig,Update snmp config for arista switch data source,Update snmp config for arista switch data source
2756,vmware.local,PUT,/data-sources/checkpoint-firewalls/{id},updateCheckpointFirewall,Update a checkpoint firewall data source,Update a checkpoint firewall data source
2809,walletobjects.googleapis.com,PUT,/walletobjects/v1/eventTicketObject/{resourceId},walletobjects.eventticketobject.update,,Updates the event ticket object referenced by the given object ID.
2811,walletobjects.googleapis.com,PUT,/walletobjects/v1/genericClass/{resourceId},walletobjects.genericclass.update,,Updates the Generic class referenced by the given class ID.
2856,webflow.com,PATCH,/transitions/{transitionId}/executions/{executionId},,,
2879,windows.net,DELETE,"/certificates(thumbprintAlgorithm={thumbprintAlgorithm},thumbprint={thumbprint})",Certificate_Delete,Deletes a certificate from the specified account.,"You cannot delete a certificate if a resource (pool or compute node) is using it. Before you can delete a certificate, you must therefore make sure that the certificate is not associated with any existing pools, the certificate is not installed on any compute nodes (even if you remove a certificate from a pool, it is not removed from existing compute nodes in that pool until they restart), and no running tasks depend on the certificate. If you try to delete a certificate that is in use, the dele"
2892,wiremock.org,DELETE,/__admin/requests/{requestId},,Delete request by ID,
2901,wowza.com,PATCH,/stream_sources/{id},updateStreamSource,Update a stream source,This operation updates a stream source.
2906,wowza.com,PUT,/transcoders/{id}/disable_all_stream_targets,disableAllStreamTargetsTranscoder,Disable a transcoder's stream targets,This operation disables all of the stream targets assigned to a specific transcoder.
2930,xtrf.eu,PUT,/browser/views/{viewId}/order,updateOrder,Updates view's order settings.,Updates view's order settings.
2933,xtrf.eu,PUT,/browser/views/{viewId}/settings/local,updateLocalSettings,Updates view's local settings (for current user).,Updates view's local settings (for current user).
2937,xtrf.eu,PUT,/reports/{reportId}/preferred,setPreferred,Marks report as preferred or not.,Marks report as preferred or not.
2942,yodlee.com,DELETE,/accounts/{accountId},deleteAccount,Delete Account,The delete account service allows an account to be deleted.<br>This service does not return a response. The HTTP response code is 204 (Success with no content).<br>
