set,repo,path,method,operationId,gt_class,resolved,security_present,security_scheme_count,security_scopes,doc_top_level_security,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,requestBody_present,requestBody_media_type,requestBody_props,requestBody_party_money,status_codes,has200,has201,has202,has204,callbacks_present,doc_has_webhooks,desc_mentions_callback,idempotency_header_param,party_id_param,x_extension_keys,has_operationId,has_summary,has_description,resource_schema_found,resource_schema_from,resource_schema_props,resource_schema_party_field
camara,ConsentInfo,/retrieve,POST,retrieveStatus,r,true,true,1,consent-info:retrieve,false,false,false,true,application/json,phoneNumber|scopes|purpose|requestCaptureUrl|callbackUrl,true,200|400|401|403|404|422,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ConsentManagement,/consents,POST,createConsent,x,true,true,1,consent-management:create,false,false,true,true,application/json,phoneNumber|scopes|purpose|consentStatus|consentTextId,true,201|400|401|403|404|409|422,false,true,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ConsentManagement,/consents/{consentId},PATCH,updateConsent,w,true,true,1,consent-management:update,false,false,true,true,application/json,consentStatus,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,ConsentManagement,/consents/retrieve-info,POST,retrieveConsentInfo,r,true,true,1,consent-management:retrieve-info,false,false,true,true,application/json,phoneNumber|scopes|purpose|requestConsentText,true,200|400|401|403|404|422,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,CustomerInsights,/scoring/retrieve,POST,retrieveScoring,r,true,true,1,customer-insights:scoring:read,false,false,true,true,application/json,idDocument|phoneNumber|scoringType,true,200|400|401|403|404|422|429,true,false,false,false,false,false,false,false,false,,true,true,true,false,,,false
camara,DedicatedNetworks,/accesses,GET,listAccesses,r,true,true,1,dedicated-network-accesses:accesses:read,false,false,false,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/accesses,items|pagination,false
camara,DedicatedNetworks,/accesses,POST,createAccess,x,true,true,1,dedicated-network-accesses:accesses:create,false,false,false,true,application/json,networkId|qosProfiles|defaultQosProfile|sink|sinkCredential|devices,false,201|207|400|401|403|404|409|422,false,true,false,false,true,false,false,false,false,,true,true,true,true,/accesses,items|pagination,false
camara,DedicatedNetworks,/accesses/{accessId},GET,readAccess,r,true,true,1,dedicated-network-accesses:accesses:read,false,false,false,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/accesses/{accessId},id|stats|recentAccessDevices,false
camara,DedicatedNetworks,/accesses/{accessId},DELETE,deleteAccess,x,true,true,1,dedicated-network-accesses:accesses:delete,false,false,false,false,,,false,204|400|401|403|404,false,false,false,true,false,false,false,false,false,,true,true,true,true,/accesses/{accessId},id|stats|recentAccessDevices,false
camara,DedicatedNetworks,/accesses/{accessId}/devices,GET,listDevices,r,true,true,1,dedicated-network-accesses:devices:read,false,false,false,false,,,false,200|400|401|403|404,true,false,false,false,false,false,false,false,false,,true,true,true,true,/accesses/{accessId}/devices,items|pagination,false
