set,repo,method,path,operationId,gt_class,pred,rule,evidence,summary
camara,DeviceReachabilityStatus,POST,/subscriptions,createDeviceReachabilityStatusSubscription,x,x,floor,,Create a device reachability status event subscription for a device
camara,DeviceReachabilityStatus,GET,/subscriptions,retrieveDeviceReachabilityStatusSubscriptionList,r,r,locked,,Retrieve a list of device reachability status event subscription
camara,DeviceReachabilityStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceReachabilityStatusSubscription,r,r,locked,,Retrieve a device reachability status event subscription for a device
camara,DeviceReachabilityStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceReachabilityStatusSubscription,w,w,floor,,Delete a device reachability status event subscription for a device
camara,DeviceReachabilityStatus,POST,/retrieve,getReachabilityStatus,r,r,read-verb,opid:get,Get the current reachability status information
camara,DeviceRoamingStatus,POST,/subscriptions,createDeviceRoamingStatusSubscription,x,x,floor,,Create a device roaming status event subscription for a device
camara,DeviceRoamingStatus,GET,/subscriptions,retrieveDeviceRoamingStatusSubscriptionList,r,r,locked,,Retrieve a list of device roaming status event subscription
camara,DeviceRoamingStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceRoamingStatusSubscription,r,r,locked,,Retrieve a roaming status event subscription for a device
camara,DeviceRoamingStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceRoamingStatusSubscription,w,w,floor,,Delete a device-roaming-status event subscription for a device
camara,DeviceRoamingStatus,POST,/retrieve,getRoamingStatus,r,r,read-verb,opid:get,Get the current roaming status and the country information
camara,DeviceStatus,POST,/subscriptions,createConnectedNetworkTypeSubscription,x,x,floor,,Create a subscription for receiving notifications on changes to the connected network type of a device
camara,DeviceStatus,GET,/subscriptions,retrieveConnectedNetworkTypeSubscriptionList,r,r,locked,,Retrieve a list of device connected network type event subscription
camara,DeviceStatus,GET,/subscriptions/{subscriptionId},retrieveConnectedNetworkTypeSubscription,r,r,locked,,Retrieve a device connected network type event subscription for a device
camara,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,w,w,floor,,Delete connected network type event subscription for a device
camara,DeviceStatus,POST,/retrieve,getConnectedNetworkType,r,r,read-verb,opid:get,Get the connected network type
camara,DeviceStatus,POST,/subscriptions,createDeviceReachabilityStatusSubscription,x,x,floor,,Create a device reachability status event subscription for a device
camara,DeviceStatus,GET,/subscriptions,retrieveDeviceReachabilityStatusSubscriptionList,r,r,locked,,Retrieve a list of device reachability status event subscription
camara,DeviceStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceReachabilityStatusSubscription,r,r,locked,,Retrieve a device reachability status event subscription for a device
camara,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceReachabilityStatusSubscription,w,w,floor,,Delete a device reachability status event subscription for a device
camara,DeviceStatus,POST,/retrieve,getReachabilityStatus,r,r,read-verb,opid:get,Get the current reachability status information
camara,DeviceStatus,POST,/subscriptions,createDeviceRoamingStatusSubscription,x,x,floor,,Create a device roaming status event subscription for a device
camara,DeviceStatus,GET,/subscriptions,retrieveDeviceRoamingStatusSubscriptionList,r,r,locked,,Retrieve a list of device roaming status event subscription
camara,DeviceStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceRoamingStatusSubscription,r,r,locked,,Retrieve a roaming status event subscription for a device
camara,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceRoamingStatusSubscription,w,w,floor,,Delete a device-roaming-status event subscription for a device
camara,DeviceStatus,POST,/retrieve,getRoamingStatus,r,r,read-verb,opid:get,Get the current roaming status and the country information
camara,DeviceSwap,POST,/retrieve-date,retrieveDeviceSwapDate,r,r,read-verb,opid:retrieve,Get last device swap date
camara,DeviceSwap,POST,/check,checkDeviceSwap,r,r,read-verb,opid:check,Check last device swap date
camara,DeviceVisitLocation,POST,/retrieve,retrieveDeviceVisitLocation,r,r,read-verb,opid:retrieve,Retrieves device visit location information
camara,EdgeApplicationManagement,POST,/apps,submitApp,x,x,live-verb,opid:submit,Submit application metadata to the Edge Cloud Provider.
camara,EdgeApplicationManagement,GET,/apps,getApps,r,r,locked,,Retrieve a list of existing Applications
camara,EdgeApplicationManagement,GET,/apps/{appId},getApp,r,r,locked,,Retrieve the information of an Application
camara,EdgeApplicationManagement,DELETE,/apps/{appId},deleteApp,w,w,floor,,Delete an Application from an Edge Cloud Provider
camara,EdgeApplicationManagement,POST,/app-instances,createAppInstance,x,x,floor,,Instantiation of an Application
camara,EdgeApplicationManagement,GET,/app-instances,getAppInstances,r,r,locked,,Retrieve the information of Application Instances for a given App
camara,EdgeApplicationManagement,GET,/app-instances/{appInstanceId},getAppInstance,r,r,locked,,Retrieve the information of an Application Instance
camara,EdgeApplicationManagement,DELETE,/app-instances/{appInstanceId},deleteAppInstance,w,x,live-verb,summary:terminate,Terminate an Application Instance
camara,EdgeApplicationManagement,POST,/deployments,createAppDeployment,x,x,floor,,Deploy an Application
camara,EdgeApplicationManagement,GET,/deployments,getAppDeployments,r,r,locked,,Retrieve a list of Application Deployment for a given App
camara,EdgeApplicationManagement,GET,/deployments/{appDeploymentId},getAppDeployment,r,r,locked,,Retrieve the information of an Application Deployment
camara,EdgeApplicationManagement,DELETE,/deployments/{appDeploymentId},deleteAppDeployment,w,x,live-verb,summary:terminate,Terminate an Application Deployment
camara,EdgeApplicationManagement,PATCH,/deployments/{appDeploymentId},updateAppDeployment,w,x,floor,,Update an Application Deployment
camara,EdgeApplicationManagement,GET,/edge-cloud-zones,getEdgeCloudZones,r,r,locked,,Retrieve a paginated list of the provider's Edge Cloud Zones
camara,EnergyFootprintNotification,POST,/calculate-energy-consumption,calculateEnergyConsumption,x,x,floor,,Provides the overall Energy Consumption for the target Application instances in a certain period of time.
camara,EnergyFootprintNotification,POST,/calculate-carbon-footprint,calculateCarbonFootprint,x,x,floor,,Retrieves the overall carbon footprint for the target Application instances in a certain period of time.
camara,HighThroughputElasticNetworks,POST,/high-throughput-elastic-network/transmission/schedule,scheduleTransmission,x,x,live-verb,summary:submit,Submit high-throughput data transmission scheduling request
camara,InHomeDeviceManagement,GET,/v1/devices,listDevices,r,r,locked,,Get all connected devices
camara,InHomeDeviceManagement,GET,/v1/devices/{deviceId},getDevice,r,r,locked,,Get device details
camara,InHomeDeviceManagement,PATCH,/v1/devices/{deviceId},updateDevice,x,x,party-noun,summary:device,Update device information
camara,InHomeDeviceManagement,DELETE,/v1/devices/{deviceId},deleteDevice,x,x,party-noun,summary:device,Delete device record
camara,InHomeDeviceManagement,POST,/v1/devices/{deviceId}/actions/{actionId},performDeviceAction,x,x,floor,,Perform action on device
camara,InHomeDeviceManagement,GET,/v1/devices/{deviceId}/network-health,getDeviceNetworkHealth,r,r,locked,,Get device network health
camara,IoTDeviceManagement,POST,/download,downloadEsimProfile,x,x,floor,,Download eSIM Profile to device
camara,IoTDeviceManagement,POST,/enable,enableEsimProfile,x,x,floor,,Enable eSIM Profile
camara,IoTDeviceManagement,POST,/disable,disableEsimProfile,x,x,floor,,Disable eSIM Profile
camara,IoTDeviceManagement,POST,/delete,deleteEsimProfile,x,x,floor,,Delete eSIM Profile
camara,IoTDeviceManagement,POST,/set-fallback,setFallbackEsimProfile,x,x,floor,,Set fallback eSIM Profile
