set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,NetworkInsights,GET,/traffic-analysis,getTrafficAnalysis,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkSliceBooking,POST,/slices/{sliceId}/devices,assignDevice,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,NetworkSliceBooking,GET,/slices/{sliceId}/devices,getDevices,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NetworkSliceBooking,POST,/slices/{sliceId}/release,releaseDevice,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,NetworkSliceBooking,POST,/retrieve-slices,retrieveSlicesByDevice,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,NetworkSliceBooking,POST,/slices,createSlice,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,NetworkSliceBooking,DELETE,/slices/{sliceId},deleteSlice,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,NetworkSliceBooking,GET,/slices/{sliceId},getSlice,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,NumberRecycling,POST,/check,checkNumberRecycling,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,NumberVerification,POST,/verify,phoneNumberVerify,r,x,floor,,x,x,x,x,x,x,x,x,x
camara,NumberVerification,GET,/device-phone-number,phoneNumberShare,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,OTPValidation,POST,/send-code,sendCode,x,x,live-verb,opid:send,x,x,x,x,x,x,x,x,x
camara,OTPValidation,POST,/validate-code,validateCode,w,x,floor,,x,x,x,x,x,x,x,x,x
camara,OptimalEdgeDiscovery,GET,/regions,getRegions,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,OptimalEdgeDiscovery,POST,/retrieve-optimal-edge-cloud-zones,discoverOptimalEdge,r,x,floor,,x,x,x,x,x,x,x,x,x
camara,PopulationDensityData,POST,/retrieve,retrievePopulationDensity,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,PredictiveConnectivityData,POST,/retrieve,retrieveConnectivity,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,QoSBooking,POST,/qos-bookings,createBooking,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,QoSBooking,GET,/qos-bookings/{bookingId},getBookingById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,QoSBooking,DELETE,/qos-bookings/{bookingId},deleteBooking,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,QoSBooking,POST,/qos-bookings/{bookingId}/devices/assign,assignDevices,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,QoSBooking,GET,/qos-bookings/{bookingId}/devices,getDevicesByBookingId,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,QoSBooking,POST,/qos-bookings/{bookingId}/devices/release,releaseDevices,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,QoSBooking,POST,/qos-bookings/retrieve,retrieveBookingByDevice,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,QoSBooking,POST,/device-qos-bookings,createBooking,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,QoSBooking,GET,/device-qos-bookings/{bookingId},getBookingById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,QoSBooking,DELETE,/device-qos-bookings/{bookingId},deleteBooking,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,QoSBooking,POST,/retrieve-device-qos-bookings,retrieveBookingByDevice,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,QualityOnDemand,POST,/retrieve-qos-profiles,retrieveQosProfiles,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,QualityOnDemand,GET,/qos-profiles/{name},getQosProfile,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,QualityOnDemand,POST,/qos-assignments,createQosAssignment,x,x,live-verb,summary:trigger,x,x,x,x,x,x,x,x,x
camara,QualityOnDemand,GET,/qos-assignments/{assignmentId},getQosAssignmentById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,QualityOnDemand,DELETE,/qos-assignments/{assignmentId},revokeQosAssignment,w,x,live-verb,opid:revoke,x,x,x,x,x,x,x,x,x
camara,QualityOnDemand,POST,/retrieve-qos-assignment,getQosAssignmentByDevice,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,QualityOnDemand,POST,/sessions,createSession,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,QualityOnDemand,GET,/sessions/{sessionId},getSession,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,QualityOnDemand,DELETE,/sessions/{sessionId},deleteSession,w,x,party-noun,summary:session,x,x,x,x,x,x,x,x,x
camara,QualityOnDemand,POST,/sessions/{sessionId}/extend,extendQosSessionDuration,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,QualityOnDemand,POST,/retrieve-sessions,retrieveSessionsByDevice,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,RegionDeviceCount,POST,/count,count,r,r,read-verb,opid:count,r,r,r,r,r,r,r,r,r
camara,SessionInsights,POST,/sessions,createSession,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,SessionInsights,GET,/sessions/{sessionId},getSession,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,SessionInsights,DELETE,/sessions/{sessionId},deleteSession,w,x,party-noun,summary:session,x,x,x,x,x,x,x,x,x
camara,SessionInsights,POST,/retrieve-sessions,retrieveSessionsByDevice,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,SessionInsights,POST,/sessions/{sessionId}/metrics,sendSessionMetrics,x,x,live-verb,opid:send,x,x,x,x,x,x,x,x,x
camara,SimSwap,POST,/subscriptions,createSimSwapSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,SimSwap,GET,/subscriptions,retrieveSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,SimSwap,GET,/subscriptions/{subscriptionId},retrieveSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,SimSwap,DELETE,/subscriptions/{subscriptionId},deleteSubscription,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,SimSwap,POST,/retrieve-date,retrieveSimSwapDate,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,SimSwap,POST,/check,checkSimSwap,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,SimSwap,POST,/retrieve-age-band,retrieveSimSwapAgeBand,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,SimpleEdgeDiscovery,POST,/retrieve-closest-edge-cloud-zone,readClosestEdgeCloudZone,r,r,read-verb,opid:read,r,r,r,r,r,r,r,r,r
camara,SponsoredData,POST,/sponsorship,startSponsorship,x,x,live-verb,opid:start,x,x,x,x,x,x,x,x,x
camara,SponsoredData,GET,/sponsorship/{sponsorId}/{campaignId}/{sessionId}/session-status,getSessionStatus,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,SponsoredData,DELETE,/sponsorship/{sponsorId}/{campaignId}/{sessionId}/revoke,revokeSponsorship,x,x,live-verb,opid:revoke,x,x,x,x,x,x,x,x,x
camara,SponsoredData,GET,/campaign/{sponsorId}/{campaignId}/campaign-status,getCampaignStatus,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,SponsoredData,GET,/campaign/{sponsorId}/{campaignId}/active-sponsorships,getActiveSponsorships,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,SponsoredData,POST,/campaign/{sponsorId}/{campaignId}/alert-subscription,configureAlerts,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,SponsoredData,POST,/campaign/management,manageCampaign,w,x,floor,,x,x,x,x,x,x,x,x,x
camara,SubscriptionStatus,POST,/retrieve-subscription-status,retrieveSubscriptionStatus,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,Tenure,POST,/check-tenure,checkTenure,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,TrafficInfluence,GET,/traffic-influences,getAllTrafficInfluences,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,TrafficInfluence,POST,/traffic-influences,postTrafficInfluence,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,TrafficInfluence,POST,/traffic-influence-devices,postTrafficInfluenceDevice,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,TrafficInfluence,GET,/traffic-influences/{trafficInfluenceID},getTrafficInfluenceById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,TrafficInfluence,PATCH,/traffic-influences/{trafficInfluenceID},patchTrafficInfluence,x,x,floor,,x,x,x,x,x,x,x,w,x
camara,TrafficInfluence,DELETE,/traffic-influences/{trafficInfluenceID},deleteTrafficInfluence,x,w,floor,,w,w,w,w,w,w,w,w,w
camara,VerifiedCaller,POST,/registrations,createRegistration,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,VerifiedCaller,GET,/registrations,readRegistrations,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,VerifiedCaller,GET,/registrations/{registrationId},readRegistration,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,VerifiedCaller,DELETE,/registrations/{registrationId},deleteRegistration,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,VerifiedCaller,PUT,/registrations/{registrationId},updateRegistration,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,VerifiedCaller,POST,/pre-announce,createPreAnnouncement,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,WebRTC,POST,/sessions,createSession,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,WebRTC,GET,/sessions/{mediaSessionId},getSessionDetailsById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,WebRTC,DELETE,/sessions/{mediaSessionId},deleteSessionById,x,x,live-verb,summary:cancel,x,x,x,x,x,x,x,x,x
camara,WebRTC,PUT,/sessions/{mediaSessionId}/status,updateSessionStatus,x,x,party-noun,opid:session,x,x,x,x,x,w,x,x,x
camara,WebRTC,POST,/subscriptions,createNotificationChannelSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,WebRTC,GET,/subscriptions,retrieveNotificationChannelSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,WebRTC,GET,/subscriptions/{subscriptionId},retrieveNotificationChannelSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,WebRTC,PUT,/subscriptions/{subscriptionId},updateNotificationChannelSubscription,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,WebRTC,DELETE,/subscriptions/{subscriptionId},deleteNotificationChannelSubscription,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,WebRTC,GET,/sessions,getRegistrationsByDeviceId,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,WebRTC,POST,/sessions,createRegistration,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,WebRTC,GET,/sessions/{registrationId},getRegistrationById,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,WebRTC,PUT,/sessions/{registrationId},updateRegistrationById,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,WebRTC,DELETE,/sessions/{registrationId},deleteRegistrationById,w,x,party-noun,summary:session,x,x,x,x,x,x,w,x,x
camara,eSimRemoteManagement,POST,/profile/result/query,profileResultQuery,r,x,floor,,x,r,r,x,x,x,x,x,x
camara,eSimRemoteManagement,POST,/profile/oper,profileOperation,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,eSimRemoteManagement,POST,/profile/downloaded-list,profileList,r,x,floor,,x,r,r,x,x,x,x,x,x
camara,eSimRemoteManagement,POST,/profile/download,profileDownload,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts.json,CreateAccount,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{Sid}.json,UpdateAccount,w,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Addresses.json,CreateAddress,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,UpdateAddress,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,DeleteAddress,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Applications.json,CreateApplication,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,UpdateApplication,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,DeleteApplication,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls.json,CreateCall,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,UpdateCall,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,DeleteCall,w,w,floor,caller-phrase,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Recordings.json,CreateCallRecording,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Recordings/{Sid}.json,UpdateCallRecording,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Recordings/{Sid}.json,DeleteCallRecording,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{Sid}.json,UpdateConference,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Recordings/{Sid}.json,UpdateConferenceRecording,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Recordings/{Sid}.json,DeleteConferenceRecording,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/ConnectApps/{Sid}.json,UpdateConnectApp,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/ConnectApps/{Sid}.json,DeleteConnectApp,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{Sid}.json,UpdateIncomingPhoneNumber,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{Sid}.json,DeleteIncomingPhoneNumber,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers.json,CreateIncomingPhoneNumber,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{ResourceSid}/AssignedAddOns/{Sid}.json,DeleteIncomingPhoneNumberAssignedAddOn,w,x,party-noun,summary:assignment,x,x,x,x,x,x,w,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{ResourceSid}/AssignedAddOns.json,CreateIncomingPhoneNumberAssignedAddOn,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/Local.json,CreateIncomingPhoneNumberLocal,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/Mobile.json,CreateIncomingPhoneNumberMobile,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/TollFree.json,CreateIncomingPhoneNumberTollFree,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Keys/{Sid}.json,UpdateKey,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Keys/{Sid}.json,DeleteKey,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Keys.json,CreateNewKey,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Media/{Sid}.json,DeleteMedia,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues/{QueueSid}/Members/{CallSid}.json,UpdateMember,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages.json,CreateMessage,x,x,live-verb,summary:send,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages/{Sid}.json,UpdateMessage,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Messages/{Sid}.json,DeleteMessage,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Feedback.json,CreateMessageFeedback,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SigningKeys.json,CreateNewSigningKey,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds/{Sid}.json,UpdateOutgoingCallerId,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds/{Sid}.json,DeleteOutgoingCallerId,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds.json,CreateValidationRequest,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Participants/{CallSid}.json,UpdateParticipant,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Participants/{CallSid}.json,DeleteParticipant,x,x,live-verb,summary:kick,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Participants.json,CreateParticipant,x,x,floor,,x,x,x,x,x,x,x,x,x
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Payments.json,CreatePayments,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Payments/{Sid}.json,UpdatePayments,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues/{Sid}.json,UpdateQueue,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Queues/{Sid}.json,DeleteQueue,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues.json,CreateQueue,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Transcriptions.json,CreateRealtimeTranscription,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Transcriptions/{Sid}.json,UpdateRealtimeTranscription,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Recordings/{Sid}.json,DeleteRecording,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Recordings/{ReferenceSid}/AddOnResults/{Sid}.json,DeleteRecordingAddOnResult,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Recordings/{ReferenceSid}/AddOnResults/{AddOnResultSid}/Payloads/{Sid}.json,DeleteRecordingAddOnResultPayload,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Recordings/{RecordingSid}/Transcriptions/{Sid}.json,DeleteRecordingTranscription,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SMS/ShortCodes/{Sid}.json,UpdateShortCode,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SigningKeys/{Sid}.json,UpdateSigningKey,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SigningKeys/{Sid}.json,DeleteSigningKey,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/CredentialListMappings.json,CreateSipAuthCallsCredentialListMapping,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/CredentialListMappings/{Sid}.json,DeleteSipAuthCallsCredentialListMapping,w,w,floor,,w,w,w,w,x,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/IpAccessControlListMappings.json,CreateSipAuthCallsIpAccessControlListMapping,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/IpAccessControlListMappings/{Sid}.json,DeleteSipAuthCallsIpAccessControlListMapping,w,w,floor,,w,w,w,w,x,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Registrations/CredentialListMappings.json,CreateSipAuthRegistrationsCredentialListMapping,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Registrations/CredentialListMappings/{Sid}.json,DeleteSipAuthRegistrationsCredentialListMapping,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials.json,CreateSipCredential,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials/{Sid}.json,UpdateSipCredential,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials/{Sid}.json,DeleteSipCredential,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists.json,CreateSipCredentialList,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{Sid}.json,UpdateSipCredentialList,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{Sid}.json,DeleteSipCredentialList,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/CredentialListMappings.json,CreateSipCredentialListMapping,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/CredentialListMappings/{Sid}.json,DeleteSipCredentialListMapping,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains.json,CreateSipDomain,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{Sid}.json,UpdateSipDomain,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{Sid}.json,DeleteSipDomain,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists.json,CreateSipIpAccessControlList,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{Sid}.json,UpdateSipIpAccessControlList,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{Sid}.json,DeleteSipIpAccessControlList,w,w,floor,,w,w,w,w,x,w,w,w,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/IpAccessControlListMappings/{Sid}.json,DeleteSipIpAccessControlListMapping,w,w,floor,,w,w,w,w,x,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/IpAccessControlListMappings.json,CreateSipIpAccessControlListMapping,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses.json,CreateSipIpAddress,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses/{Sid}.json,UpdateSipIpAddress,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses/{Sid}.json,DeleteSipIpAddress,w,w,floor,,w,w,w,w,w,w,w,w,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Siprec.json,CreateSiprec,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Siprec/{Sid}.json,UpdateSiprec,w,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Streams.json,CreateStream,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Streams/{Sid}.json,UpdateStream,x,x,floor,,x,x,x,x,x,x,x,x,w
holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Tokens.json,CreateToken,x,x,floor,,x,x,x,x,x,x,x,x,x
