set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,CarrierBillingCheckOut,GET,/payments/{paymentId}/refunds/remaining-amount,retrievePaymentRemainingAmount,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,CarrierBillingCheckOut,POST,/payments,createPayment,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,CarrierBillingCheckOut,GET,/payments,retrievePayments,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,CarrierBillingCheckOut,GET,/payments/{paymentId},retrievePayment,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,CarrierBillingCheckOut,POST,/payments/prepare,preparePayment,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,CarrierBillingCheckOut,POST,/payments/{paymentId}/validate,validatePayment,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,CarrierBillingCheckOut,POST,/payments/{paymentId}/confirm,confirmPayment,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,CarrierBillingCheckOut,POST,/payments/{paymentId}/cancel,cancelPayment,w,x,live-verb,opid:cancel,x,x,x,x,x,x,x,x,x
camara,ClickToDial,POST,/calls,createCall,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,ClickToDial,GET,/calls/{callId},getCall,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ClickToDial,DELETE,/calls/{callId},terminateCall,x,x,live-verb,opid:terminate,x,x,x,x,x,x,x,x,x
camara,ClickToDial,GET,/calls/{callId}/recording,getRecording,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ConnectedNetworkType,POST,/subscriptions,createConnectedNetworkTypeSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,ConnectedNetworkType,GET,/subscriptions,retrieveConnectedNetworkTypeSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ConnectedNetworkType,GET,/subscriptions/{subscriptionId},retrieveConnectedNetworkTypeSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,ConnectedNetworkType,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
